sequenceID	source.name	serotype	genotype	major_lineage	minor_lineage	minor_sublineage	minor_subsublineage
AF100462	ncbi-nuccore	2	2V				
AF100463	ncbi-nuccore	2	2V	2V_B			
AF100464	ncbi-nuccore	2	2V	2V_B			
AF100465	ncbi-nuccore	2	2I				
AF100466	ncbi-nuccore	2	2III	2III_B			
AF100467	ncbi-nuccore	2	2I				
AF100468	ncbi-nuccore	2	2I				
AF100469	ncbi-nuccore	2	2I				
AF119661	ncbi-nuccore	2	2III				
AF169678	ncbi-nuccore	2	2V				
AF169679	ncbi-nuccore	2	2V				
AF169680	ncbi-nuccore	2	2V				
AF169681	ncbi-nuccore	2	2V				
AF169682	ncbi-nuccore	2	2V				
AF169683	ncbi-nuccore	2	2V				
AF169684	ncbi-nuccore	2	2V				
AF169685	ncbi-nuccore	2	2V				
AF169686	ncbi-nuccore	2	2V				
AF169687	ncbi-nuccore	2	2V				
AF169688	ncbi-nuccore	2	2V				
AF180817	ncbi-nuccore	1	1II				
AF180818	ncbi-nuccore	1	1II				
AF204177	ncbi-nuccore	2					
AF204178	ncbi-nuccore	2					
AF208496	ncbi-nuccore	2	2III	2III_C			
AF226685	ncbi-nuccore	1	1V				
AF226686	ncbi-nuccore	1	1V				
AF226687	ncbi-nuccore	1	1V				
AF276619	ncbi-nuccore	2	2II	2II_A	2II_A1		
AF289029	ncbi-nuccore	4	4I				
AF298807	ncbi-nuccore	1					
AF298808	ncbi-nuccore	1	1I	1I_B			
AF309641	ncbi-nuccore	1	1I				
AF311956	ncbi-nuccore	1	1V				
AF311957	ncbi-nuccore	1	1V				
AF311958	ncbi-nuccore	1	1V				
AF317645	ncbi-nuccore	3	3V				
AF326573	ncbi-nuccore	4	4II	4II_B	4II_B1		
AF326825	ncbi-nuccore	4	4II	4II_B	4II_B1		
AF326826	ncbi-nuccore	4	4II	4II_B	4II_B1		
AF326827	ncbi-nuccore	4	4II	4II_B	4II_B1		
AF350498	ncbi-nuccore	1	1I	1I_B			
AF359579	ncbi-nuccore	2	2II	2II_A	2II_A1		
AF375822	ncbi-nuccore	4	4II	4II_B	4II_B1		
AF489932	ncbi-nuccore	2	2III				
AF513110	ncbi-nuccore	1	1V				
AF514876	ncbi-nuccore	1	1V				
AF514878	ncbi-nuccore	1	1V				
AF514883	ncbi-nuccore	1	1V				
AF514885	ncbi-nuccore	1	1V				
AF514889	ncbi-nuccore	1	1V				
AH011663	ncbi-nuccore	3	3III	3III_C			
AH011664	ncbi-nuccore	3	3III	3III_C			
AH011665	ncbi-nuccore	3	3III	3III_C			
AH011666	ncbi-nuccore	3	3III	3III_C			
AH011667	ncbi-nuccore	3	3III	3III_C			
AJ487271	ncbi-nuccore	2	2V		2V_A3		
AJ968413	ncbi-nuccore	2	2IV				
AY037116	ncbi-nuccore	2	2II				2II_F1.1.2
AY099336	ncbi-nuccore	3	3III	3III_A	3III_A1		
AY099337	ncbi-nuccore	3	3III	3III_C			
AY145121	ncbi-nuccore	1	1IV	1IV_B			
AY145122	ncbi-nuccore	1	1IV	1IV_B			
AY145123	ncbi-nuccore	1	1IV	1IV_B			
AY206457	ncbi-nuccore	1	1V				
AY277659	ncbi-nuccore	1	1V				
AY277664	ncbi-nuccore	1	1V				
AY277665	ncbi-nuccore	1	1V				
AY277666	ncbi-nuccore	1	1V				
AY373427	ncbi-nuccore	1	1IV	1IV_A			
AY376737	ncbi-nuccore	1	1I	1I_A			
AY376738	ncbi-nuccore	1	1I				
AY496871	ncbi-nuccore	3	3II	3II_B			
AY496873	ncbi-nuccore	3	3II	3II_B			
AY496874	ncbi-nuccore	3	3II	3II_B			
AY496877	ncbi-nuccore	3	3II	3II_B			
AY496879	ncbi-nuccore	3					
AY618988	ncbi-nuccore	4	4III				
AY618989	ncbi-nuccore	4	4III				
AY618990	ncbi-nuccore	4	4I	4I_A	4I_A2		
AY618991	ncbi-nuccore	4	4I	4I_A	4I_A1		
AY618992	ncbi-nuccore	4	4I	4I_A	4I_A2		
AY618993	ncbi-nuccore	4	4II	4II_A			
AY648961	ncbi-nuccore	3	3I	3I_B			
AY662691	ncbi-nuccore	3	3III	3III_A	3III_A1		
AY676348	ncbi-nuccore	3	3II	3II_A			
AY676349	ncbi-nuccore	3	3II	3II_A			
AY676350	ncbi-nuccore	3	3II	3II_A			
AY676351	ncbi-nuccore	3	3II	3II_A			
AY676352	ncbi-nuccore	3	3II	3II_A	3II_A4		
AY676353	ncbi-nuccore	3	3II	3II_A			
AY679147	ncbi-nuccore	3	3III	3III_C	3III_C2		
AY702034	ncbi-nuccore	2	2III	2III_C			
AY702035	ncbi-nuccore	2	2III	2III_C			
AY702036	ncbi-nuccore	2	2III	2III_C			
AY702037	ncbi-nuccore	2	2III	2III_C			
AY702038	ncbi-nuccore	2	2III	2III_C			
AY702039	ncbi-nuccore	2	2III	2III_C			
AY702040	ncbi-nuccore	2	2I				
AY708047	ncbi-nuccore	1	1I				
AY713473	ncbi-nuccore	1					
AY713474	ncbi-nuccore	1	1I	1I_B			
AY713475	ncbi-nuccore	1	1I	1I_B			
AY713476	ncbi-nuccore	1	1I				
AY722801	ncbi-nuccore	1					
AY722802	ncbi-nuccore	1					
AY722803	ncbi-nuccore	1					
AY726549	ncbi-nuccore	1	1I				
AY726550	ncbi-nuccore	1	1I	1I_B			
AY726551	ncbi-nuccore	1	1I				
AY726552	ncbi-nuccore	1	1I	1I_B			
AY726553	ncbi-nuccore	1	1I				
AY726554	ncbi-nuccore	1	1I				
AY726555	ncbi-nuccore	1	1I	1I_B			
AY732474	ncbi-nuccore	1	1III				
AY732475	ncbi-nuccore	1	1I	1I_A			
AY732476	ncbi-nuccore	1	1III				
AY732477	ncbi-nuccore	1	1I	1I_B			
AY732478	ncbi-nuccore	1	1I	1I_B			
AY732479	ncbi-nuccore	1	1I	1I_H	1I_H3		
AY732480	ncbi-nuccore	1	1I	1I_A			
AY732481	ncbi-nuccore	1	1I	1I_B			
AY732482	ncbi-nuccore	1	1I	1I_H	1I_H3		
AY732483	ncbi-nuccore	1	1I	1I_B			
AY744147	ncbi-nuccore	2	2I				
AY744677	ncbi-nuccore	3	3I	3I_B			
AY744678	ncbi-nuccore	3	3I	3I_B			
AY744679	ncbi-nuccore	3	3I	3I_B			
AY744680	ncbi-nuccore	3	3I	3I_B			
AY744681	ncbi-nuccore	3	3I	3I_B			
AY744682	ncbi-nuccore	3	3I	3I_B			
AY744683	ncbi-nuccore	3	3I	3I_B			
AY744684	ncbi-nuccore	3	3I	3I_B			
AY744685	ncbi-nuccore	3	3I	3I_B			
AY762084	ncbi-nuccore	1	1III				
AY762085	ncbi-nuccore	4	4II	4II_B			
AY766104	ncbi-nuccore	3	3II	3II_A			
AY770511	ncbi-nuccore	3	3III	3III_B			
AY776328	ncbi-nuccore	2	2II	2II_C	2II_C2		
AY776329	ncbi-nuccore	3	3I				
AY776330	ncbi-nuccore	4	4II	4II_A			
AY835999	ncbi-nuccore	1	1I				
AY858035	ncbi-nuccore	2	2II	2II_D			
AY858036	ncbi-nuccore	2	2II				2II_F1.1.2
AY858037	ncbi-nuccore	3	3I	3I_A	3I_A1		
AY858038	ncbi-nuccore	3	3I	3I_A			
AY858039	ncbi-nuccore	3	3I	3I_A			
AY858040	ncbi-nuccore	3	3I	3I_A			
AY858041	ncbi-nuccore	3	3I	3I_A			
AY858042	ncbi-nuccore	3	3I	3I_A			
AY858043	ncbi-nuccore	3	3I	3I_A			
AY858044	ncbi-nuccore	3	3I	3I_A			
AY858045	ncbi-nuccore	3	3I	3I_A			
AY858046	ncbi-nuccore	3	3I	3I_A			
AY858047	ncbi-nuccore	3	3I	3I_A			
AY858048	ncbi-nuccore	3	3I	3I_A			
AY858049	ncbi-nuccore	4	4II	4II_A			
AY858050	ncbi-nuccore	4	4II	4II_A			
AY858983	ncbi-nuccore	1	1IV	1IV_B			
AY876494	ncbi-nuccore	3	3II	3II_A			
AY923865	ncbi-nuccore	3	3II	3II_A			
AY947539	ncbi-nuccore	4	4I				
CS477263	ncbi-nuccore	1	1II				
CS477264	ncbi-nuccore	1	1II				
CS477265	ncbi-nuccore	1	1II				
CS477302	ncbi-nuccore	2	2V				
CS477304	ncbi-nuccore	2	2V				
CS477305	ncbi-nuccore	3	3V				
CS477306	ncbi-nuccore	4	4II	4II_B	4II_B1		
CS479165	ncbi-nuccore	2	2V				
CS479167	ncbi-nuccore	2	2V				
CS479202	ncbi-nuccore	2	2V				
CS479203	ncbi-nuccore	1	1II				
CS479204	ncbi-nuccore	1	1II				
CS479205	ncbi-nuccore	3	3V				
CS479206	ncbi-nuccore	4	4II	4II_B	4II_B1		
CS805342	ncbi-nuccore	3	3III	3III_C			
CS805343	ncbi-nuccore	1	1II				
CS805344	ncbi-nuccore	2	2V				
CS805345	ncbi-nuccore	3	3V				
CS805346	ncbi-nuccore	4	4II	4II_B	4II_B1		
CS805347	ncbi-nuccore	1	1II				
CS805348	ncbi-nuccore	2	2V				
DI191091	ncbi-nuccore	1	1II				
DI191092	ncbi-nuccore	2	2V				
DI195805	ncbi-nuccore						
DI401605	ncbi-nuccore	1	1II				
DI401606	ncbi-nuccore	1	1II				
DI401607	ncbi-nuccore	1	1II				
DI401644	ncbi-nuccore	2	2V				
DI401645	ncbi-nuccore	2	2V				
DI401646	ncbi-nuccore	3	3V				
DI401647	ncbi-nuccore	4	4II	4II_B	4II_B1		
DI402998	ncbi-nuccore	2	2V				
DI402999	ncbi-nuccore	2	2V				
DI403032	ncbi-nuccore	2	2V				
DI403033	ncbi-nuccore	1	1II				
DI403034	ncbi-nuccore	1	1II				
DI403035	ncbi-nuccore	3	3V				
DI403036	ncbi-nuccore	4	4II	4II_B	4II_B1		
DL138662	ncbi-nuccore	2	2I				
DM140252	ncbi-nuccore	1	1II				
DM140253	ncbi-nuccore	1	1II				
DM140254	ncbi-nuccore	1	1II				
DM140291	ncbi-nuccore	2	2V				
DM140292	ncbi-nuccore	2	2V				
DM140293	ncbi-nuccore	3	3V				
DM140294	ncbi-nuccore	4	4II	4II_B	4II_B1		
DM140295	ncbi-nuccore	2	2V				
DM140296	ncbi-nuccore	2	2V				
DM140331	ncbi-nuccore	2	2V				
DM140332	ncbi-nuccore	1	1II				
DM140333	ncbi-nuccore	1	1II				
DM140334	ncbi-nuccore	3	3V				
DM140335	ncbi-nuccore	4	4II	4II_B	4II_B1		
DQ181797	ncbi-nuccore	2	2V	2V_A			
DQ181798	ncbi-nuccore	2	2V	2V_D			
DQ181799	ncbi-nuccore	2	2V	2V_C			
DQ181800	ncbi-nuccore	2	2V	2V_B			
DQ181801	ncbi-nuccore	2	2III	2III_A	2III_A2		
DQ181802	ncbi-nuccore	2	2V				
DQ181803	ncbi-nuccore	2	2V				
DQ181804	ncbi-nuccore	2	2V				
DQ181805	ncbi-nuccore	2	2V				
DQ181806	ncbi-nuccore	2	2V				
DQ193572	ncbi-nuccore	1	1I			1I_K1.2	
DQ285558	ncbi-nuccore	1	1IV	1IV_A			
DQ285559	ncbi-nuccore	1	1V	1V_A			
DQ285560	ncbi-nuccore	1	1IV	1IV_A			
DQ285561	ncbi-nuccore	1	1IV	1IV_A			
DQ285562	ncbi-nuccore	1	1III				
DQ401689	ncbi-nuccore	3	3II	3II_B			
DQ401690	ncbi-nuccore	3	3II	3II_B			
DQ401691	ncbi-nuccore	3	3II	3II_B			
DQ401692	ncbi-nuccore	3	3II	3II_B			
DQ401693	ncbi-nuccore	3	3II	3II_B			
DQ401694	ncbi-nuccore	3					
DQ401695	ncbi-nuccore	3					
DQ448231	ncbi-nuccore	2	2II	2II_A	2II_A1	2II_A1.1	
DQ645540	ncbi-nuccore	2	2II	2II_C	2II_C2		
DQ645541	ncbi-nuccore	2	2II	2II_C	2II_C2		
DQ645542	ncbi-nuccore	2	2II	2II_C	2II_C2		
DQ645543	ncbi-nuccore	2	2II	2II_C	2II_C2		
DQ645544	ncbi-nuccore	2	2II	2II_C	2II_C2		
DQ645545	ncbi-nuccore	2	2II	2II_C	2II_C2		
DQ645546	ncbi-nuccore	2	2II	2II_C	2II_C2		
DQ645547	ncbi-nuccore	2	2II	2II_C	2II_C2		
DQ645548	ncbi-nuccore	2	2II	2II_C	2II_C2		
DQ645549	ncbi-nuccore	2	2II	2II_C	2II_C2		
DQ645550	ncbi-nuccore	2	2II	2II_C	2II_C2		
DQ645551	ncbi-nuccore	2	2II	2II_C	2II_C2		
DQ645552	ncbi-nuccore	2	2II	2II_C	2II_C2		
DQ645553	ncbi-nuccore	2	2II	2II_C	2II_C2		
DQ645554	ncbi-nuccore	2	2II	2II_C	2II_C2		
DQ645555	ncbi-nuccore	2	2II	2II_C	2II_C2		
DQ645556	ncbi-nuccore	2	2II	2II_C	2II_C2		
DQ672556	ncbi-nuccore	1	1IV	1IV_A			
DQ672557	ncbi-nuccore	1	1IV	1IV_A			
DQ672558	ncbi-nuccore	1	1IV	1IV_A			
DQ672559	ncbi-nuccore	1	1IV	1IV_A			
DQ672560	ncbi-nuccore	1	1IV	1IV_A			
DQ672561	ncbi-nuccore	1	1IV	1IV_A			
DQ672562	ncbi-nuccore	1	1IV	1IV_A			
DQ672563	ncbi-nuccore	1	1IV	1IV_A			
DQ672564	ncbi-nuccore	1	1IV	1IV_B			
DQ675519	ncbi-nuccore	3	3I				
DQ675520	ncbi-nuccore	3	3II	3II_A			
DQ675521	ncbi-nuccore	3	3II	3II_A			
DQ675522	ncbi-nuccore	3	3II	3II_A			
DQ675523	ncbi-nuccore	3	3II	3II_A			
DQ675524	ncbi-nuccore	3	3II	3II_A			
DQ675525	ncbi-nuccore	3	3II	3II_A			
DQ675526	ncbi-nuccore	3	3II	3II_A			
DQ675527	ncbi-nuccore	3	3II	3II_A			
DQ675528	ncbi-nuccore	3	3II	3II_A			
DQ675529	ncbi-nuccore	3	3II	3II_A			
DQ675530	ncbi-nuccore	3	3II	3II_A			
DQ675531	ncbi-nuccore	3	3II	3II_A			
DQ675532	ncbi-nuccore	3	3II	3II_A			
DQ675533	ncbi-nuccore	3	3III	3III_A	3III_A1		
DQ836632	ncbi-nuccore	1	1I				
DQ863638	ncbi-nuccore	3	3II	3II_A			
EF025110	ncbi-nuccore	1	1IV	1IV_C			
EF032590	ncbi-nuccore	1	1IV	1IV_A			
EF051521	ncbi-nuccore	2	2II	2II_C	2II_C2		
EF105378	ncbi-nuccore	2	2VI				
EF105379	ncbi-nuccore	2	2VI				
EF105380	ncbi-nuccore	2	2VI				
EF105381	ncbi-nuccore	2	2VI				
EF105382	ncbi-nuccore	2	2VI				
EF105383	ncbi-nuccore	2	2VI				
EF105384	ncbi-nuccore	2	2VI				
EF105385	ncbi-nuccore	2	2VI				
EF105386	ncbi-nuccore	2	2VI				
EF105387	ncbi-nuccore	2	2VI				
EF105388	ncbi-nuccore	2	2VI				
EF105389	ncbi-nuccore	2	2VI				
EF105390	ncbi-nuccore	2	2VI				
EF122231	ncbi-nuccore	1	1V				
EF122232	ncbi-nuccore	1	1V				
EF457904	ncbi-nuccore	2	2VI				
EF457905	ncbi-nuccore	1					
EF457906	ncbi-nuccore	4	4IV				
EF629366	ncbi-nuccore	3	3III	3III_C	3III_C2		
EF629367	ncbi-nuccore	3	3III	3III_C	3III_C2		
EF629368	ncbi-nuccore	3	3III	3III_C	3III_C2		
EF629369	ncbi-nuccore	3	3III	3III_C	3III_C2		
EF629370	ncbi-nuccore	3	3V				
EF629373	ncbi-nuccore	3	3V				
EF643017	ncbi-nuccore	3	3III	3III_C	3III_C2		
EU003591	ncbi-nuccore	2	2VI				
EU056810	ncbi-nuccore	2	2II	2II_B			
EU056811	ncbi-nuccore	2	2I				
EU056812	ncbi-nuccore	2	2I				
EU081177	ncbi-nuccore	2	2II				
EU081178	ncbi-nuccore	2	2II				
EU081179	ncbi-nuccore	2	2II				
EU081180	ncbi-nuccore	2	2II				
EU081181	ncbi-nuccore	3	3III	3III_A	3III_A1		
EU081182	ncbi-nuccore	3	3III	3III_A	3III_A1		
EU081183	ncbi-nuccore	3	3III	3III_A	3III_A1		
EU081184	ncbi-nuccore	3	3III	3III_A	3III_A1		
EU081185	ncbi-nuccore	3	3III	3III_A	3III_A1		
EU081186	ncbi-nuccore	3	3III	3III_A	3III_A1		
EU081187	ncbi-nuccore	3	3III	3III_A	3III_A1		
EU081188	ncbi-nuccore	3	3III	3III_A	3III_A1		
EU081189	ncbi-nuccore	3	3III	3III_A	3III_A1		
EU081190	ncbi-nuccore	3	3III	3III_A	3III_A1		
EU081191	ncbi-nuccore	3	3III	3III_A	3III_A1		
EU081192	ncbi-nuccore	3	3III	3III_A	3III_A1		
EU081193	ncbi-nuccore	3	3III	3III_A	3III_A1		
EU081194	ncbi-nuccore	3	3III	3III_A	3III_A1		
EU081195	ncbi-nuccore	3	3III	3III_A	3III_A1		
EU081196	ncbi-nuccore	3	3III	3III_A	3III_A1		
EU081197	ncbi-nuccore	3	3III	3III_A	3III_A1		
EU081198	ncbi-nuccore	3	3III	3III_A	3III_A1		
EU081199	ncbi-nuccore	3	3III	3III_A	3III_A1		
EU081200	ncbi-nuccore	3	3III	3III_A	3III_A1		
EU081201	ncbi-nuccore	3	3III	3III_A	3III_A1		
EU081202	ncbi-nuccore	3	3III	3III_A	3III_A1		
EU081203	ncbi-nuccore	3	3III	3III_A	3III_A1		
EU081204	ncbi-nuccore	3	3III	3III_A	3III_A1		
EU081205	ncbi-nuccore	3	3III	3III_A	3III_A1		
EU081206	ncbi-nuccore	3	3III	3III_A	3III_A1		
EU081207	ncbi-nuccore	3	3III	3III_A	3III_A1		
EU081208	ncbi-nuccore	3	3III	3III_A	3III_A1		
EU081209	ncbi-nuccore	3	3III	3III_A	3III_A1		
EU081210	ncbi-nuccore	3	3III	3III_A	3III_A1		
EU081211	ncbi-nuccore	3	3III	3III_A	3III_A1		
EU081212	ncbi-nuccore	3	3III	3III_A	3III_A1		
EU081213	ncbi-nuccore	3	3III	3III_A	3III_A1		
EU081214	ncbi-nuccore	3	3III	3III_A	3III_A1		
EU081215	ncbi-nuccore	3	3III	3III_A	3III_A1		
EU081216	ncbi-nuccore	3	3III	3III_A	3III_A1		
EU081217	ncbi-nuccore	3	3III	3III_A	3III_A1		
EU081218	ncbi-nuccore	3	3III	3III_A	3III_A1		
EU081219	ncbi-nuccore	3	3III	3III_A	3III_A1		
EU081220	ncbi-nuccore	3	3III	3III_A	3III_A1		
EU081221	ncbi-nuccore	3	3I	3I_A			
EU081222	ncbi-nuccore	3	3III	3III_A	3III_A1		
EU081223	ncbi-nuccore	3	3I	3I_A			
EU081224	ncbi-nuccore	3	3III	3III_A	3III_A1		
EU081225	ncbi-nuccore	3	3III	3III_A	3III_A1		
EU081226	ncbi-nuccore	1	1I				
EU081227	ncbi-nuccore	1	1I				
EU081228	ncbi-nuccore	1	1I				
EU081229	ncbi-nuccore	1	1I				
EU081230	ncbi-nuccore	1	1I				
EU081231	ncbi-nuccore	1	1I				
EU081232	ncbi-nuccore	1	1I				
EU081233	ncbi-nuccore	1	1I				
EU081234	ncbi-nuccore	1	1I				
EU081235	ncbi-nuccore	1	1I				
EU081236	ncbi-nuccore	1	1I				
EU081237	ncbi-nuccore	1	1I				
EU081238	ncbi-nuccore	1	1I				
EU081239	ncbi-nuccore	1	1I				
EU081240	ncbi-nuccore	1	1I				
EU081241	ncbi-nuccore	1	1I				
EU081242	ncbi-nuccore	1	1I				
EU081243	ncbi-nuccore	1	1I				
EU081244	ncbi-nuccore	1	1I				
EU081245	ncbi-nuccore	1	1I				
EU081246	ncbi-nuccore	1	1I				
EU081247	ncbi-nuccore	1	1I				
EU081248	ncbi-nuccore	1	1I				
EU081249	ncbi-nuccore	1	1I				
EU081250	ncbi-nuccore	1	1I				
EU081251	ncbi-nuccore	1	1I				
EU081252	ncbi-nuccore	1	1I				
EU081253	ncbi-nuccore	1	1I				
EU081254	ncbi-nuccore	1	1I				
EU081255	ncbi-nuccore	1	1I				
EU081256	ncbi-nuccore	1	1I				
EU081257	ncbi-nuccore	1	1I				
EU081258	ncbi-nuccore	1	1V	1V_A			
EU081259	ncbi-nuccore	1	1I				
EU081260	ncbi-nuccore	1	1I				
EU081261	ncbi-nuccore	1	1I				
EU081262	ncbi-nuccore	1	1I				
EU081263	ncbi-nuccore	1	1I				
EU081264	ncbi-nuccore	1	1I				
EU081265	ncbi-nuccore	1	1I				
EU081266	ncbi-nuccore	1	1I				
EU081267	ncbi-nuccore	1	1I				
EU081268	ncbi-nuccore	1	1I				
EU081269	ncbi-nuccore	1	1I				
EU081270	ncbi-nuccore	1	1I				
EU081271	ncbi-nuccore	1	1I				
EU081272	ncbi-nuccore	1	1I				
EU081273	ncbi-nuccore	1	1I				
EU081274	ncbi-nuccore	1	1I				
EU081275	ncbi-nuccore	1	1I				
EU081276	ncbi-nuccore	1	1I				
EU081277	ncbi-nuccore	1	1I				
EU081278	ncbi-nuccore	1	1I				
EU081279	ncbi-nuccore	1	1I				
EU081280	ncbi-nuccore	1	1I				
EU081281	ncbi-nuccore	1	1I				
EU179857	ncbi-nuccore	2	2II				
EU179858	ncbi-nuccore	2	2II				
EU179859	ncbi-nuccore	2	2II	2II_D			
EU179860	ncbi-nuccore	1	1III	1III_A			
EU179861	ncbi-nuccore	1	1IV	1IV_B			
EU249490	ncbi-nuccore	1	1I	1I_G			
EU249491	ncbi-nuccore	1	1I	1I_K	1I_K7		
EU249492	ncbi-nuccore	1	1I	1I_G			
EU249493	ncbi-nuccore	1	1I	1I_G			
EU249494	ncbi-nuccore	1	1I	1I_C			
EU249495	ncbi-nuccore	1	1I	1I_C			
EU280167	ncbi-nuccore	1	1I				
EU359008	ncbi-nuccore	1	1I				
EU359009	ncbi-nuccore	2	2II	2II_F	2II_F1	2II_F1.2	
EU367962	ncbi-nuccore	3	3II	3II_A			
EU482444	ncbi-nuccore	2	2III	2III_D	2III_D1	2III_D1.3	
EU482445	ncbi-nuccore	2	2V	2V_A			
EU482446	ncbi-nuccore	2	2V	2V_A			
EU482447	ncbi-nuccore	2	2V	2V_A			
EU482448	ncbi-nuccore	2	2V	2V_A			
EU482449	ncbi-nuccore	2	2III	2III_A	2III_A2		
EU482450	ncbi-nuccore	2	2V	2V_A			
EU482451	ncbi-nuccore	2	2V	2V_A			
EU482452	ncbi-nuccore	3	3II	3II_A	3II_A1		
EU482453	ncbi-nuccore	3	3II	3II_A	3II_A1		
EU482454	ncbi-nuccore	3	3II	3II_A			
EU482455	ncbi-nuccore	3	3II	3II_A	3II_A1		
EU482456	ncbi-nuccore	3	3II	3II_A	3II_A1		
EU482457	ncbi-nuccore	3	3II	3II_A			
EU482458	ncbi-nuccore	3	3II	3II_A	3II_A1		
EU482459	ncbi-nuccore	3	3II	3II_A	3II_A1		
EU482460	ncbi-nuccore	3	3II	3II_A	3II_A1		
EU482461	ncbi-nuccore	3	3II	3II_A	3II_A1		
EU482462	ncbi-nuccore	3	3II	3II_A	3II_A1		
EU482463	ncbi-nuccore	2	2V	2V_A			
EU482464	ncbi-nuccore	2	2V	2V_A			
EU482465	ncbi-nuccore	2	2V	2V_A			
EU482466	ncbi-nuccore	2	2V	2V_A			
EU482467	ncbi-nuccore	2	2V	2V_A			
EU482468	ncbi-nuccore	2	2V	2V_A			
EU482469	ncbi-nuccore	2	2V	2V_A			
EU482470	ncbi-nuccore	2	2V	2V_A			
EU482471	ncbi-nuccore	2	2V	2V_A			
EU482472	ncbi-nuccore	2	2V	2V_A			
EU482473	ncbi-nuccore	2	2V	2V_A			
EU482474	ncbi-nuccore	2	2V	2V_A			
EU482475	ncbi-nuccore	2	2V	2V_A			
EU482476	ncbi-nuccore	1	1I	1I_C			
EU482477	ncbi-nuccore	1	1I				
EU482478	ncbi-nuccore	1	1I				
EU482479	ncbi-nuccore	1	1I				
EU482480	ncbi-nuccore	1	1I	1I_G			
EU482481	ncbi-nuccore	1	1I	1I_C			
EU482482	ncbi-nuccore	1	1I	1I_E			
EU482483	ncbi-nuccore	1	1I	1I_E		1I_E1.2	
EU482484	ncbi-nuccore	1	1I				
EU482485	ncbi-nuccore	1	1I				
EU482486	ncbi-nuccore	1	1I	1I_D			
EU482487	ncbi-nuccore	1	1I				
EU482488	ncbi-nuccore	1	1I	1I_G			
EU482489	ncbi-nuccore	1	1I	1I_E		1I_E1.2	
EU482490	ncbi-nuccore	1	1I				
EU482491	ncbi-nuccore	1	1I				
EU482492	ncbi-nuccore	1	1I				
EU482493	ncbi-nuccore	1	1I	1I_E		1I_E1.2	
EU482494	ncbi-nuccore	1	1I	1I_E			
EU482495	ncbi-nuccore	1	1I	1I_D			
EU482496	ncbi-nuccore	1	1I				
EU482497	ncbi-nuccore	1	1I	1I_E			
EU482498	ncbi-nuccore	1	1I	1I_E			
EU482499	ncbi-nuccore	1	1I				
EU482500	ncbi-nuccore	1	1I				
EU482501	ncbi-nuccore	1	1I				
EU482502	ncbi-nuccore	1	1I				
EU482503	ncbi-nuccore	1	1I				
EU482504	ncbi-nuccore	1	1I				
EU482505	ncbi-nuccore	1	1I	1I_G	1I_K7		
EU482506	ncbi-nuccore	1	1I				
EU482507	ncbi-nuccore	1	1I				
EU482508	ncbi-nuccore	1	1I				
EU482509	ncbi-nuccore	1	1I				
EU482510	ncbi-nuccore	1	1I	1I_D			
EU482511	ncbi-nuccore	1	1I	1I_E			
EU482512	ncbi-nuccore	1	1I				
EU482513	ncbi-nuccore	1	1I	1I_E			
EU482514	ncbi-nuccore	1	1I				
EU482515	ncbi-nuccore	1	1I	1I_E			
EU482516	ncbi-nuccore	1	1I				
EU482517	ncbi-nuccore	1	1I	1I_E		1I_E1.2	
